query,dataset,library,time,memory,outputs,throughput,fot
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.79,154779648.0,25088.0,96386836.70886075,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.85,154664960.0,22423.0,89579924.70588236,0.0
\n!x{[^\n]* DISTINCT [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.21,154501120.0,33048.0,62936827.27272727,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*}\n,sparql,RE2,1.18,154681344.0,18640.0,64524705.93220339,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.88,154386432.0,17346.0,86520294.31818181,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.77,154435584.0,32249.0,98899690.9090909,0.0
\n!x{[^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.52,154271744.0,19683.0,146423453.84615386,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]*}\n,sparql,RE2,1.0,154746880.0,29650.0,76150163.0,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.86,154632192.0,25006.0,88541301.1627907,0.0
\n!x{[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.12,154533888.0,29392.0,67990986.60714285,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.97,154337280.0,35444.0,78511295.87628867,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]*}\n,sparql,RE2,0.87,154255360.0,35530.0,87535681.6091954,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.87,154271744.0,36630.0,87536945.9770115,0.0
